Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Djibouti,Import,  All Products,Import (US$ Thousand),224.243,95.994,975.315,628.021,1164.535,2400.53,3853.057,2086.885,3016.835,4317.591,2458.373,1877.1,1927.854,3675.556,5072.5,1293.138,1655.028,2363.441,4107.19727804211,15152.2643390749,21181.3110120832,17436.7310018378,37744.973625301194
India,Dominica,Import,  All Products,Import (US$ Thousand),,0.011,48.974,33.405,76.098,274.732,253.939,333.758,664.697,617.081,831.993,157.076,423.237,450.047,1195.561,66.753,106.194,750.096,253.46924745011998,328.76333929504,265.8974245585,296.62013209,217.49772235634998
India,Dominican Republic,Import,  All Products,Import (US$ Thousand),432.949,521.514,,70.439,1082.657,3263.699,1842.344,5168.111,2227.949,10150.651,8452.701,15367.267,8358.255,10401.466,13073.415,85845.413,600807.97,637003.394,593899.556518546,638378.5595955519,459997.953189675,198444.37251361998,653066.936123202
India,East Asia & Pacific,Import,  All Products,Import (US$ Thousand),12273148.737000003,10889897.067,11173995.374000002,13192228.035000002,18543790.981,26258316.384000003,36208916.62099999,51871685.63699998,68082953.79299998,89889378.94900003,87316507.731,109871811.279,145637170.03800002,144410101.812,136459029.413,143128015.56399998,142173452.33200005,137402099.27599996,170028923.96419597,231890876.94897512,182946906.40197748,147598219.82585272,217938449.20057684
India,East Timor,Import,  All Products,Import (US$ Thousand),,,,,23.829,11.079,23.664,612.158,36.804,66.231,171.72,919.355,22237.731,192.141,596.088,528.063,70.522,31.191,218.01845956581,45.45876838336,,39.931026762200005,0.9005712769499999
India,Ecuador,Import,  All Products,Import (US$ Thousand),8679.92,9233.154,3721.213,3441.005,3981.053,21304.43,18871.559,38400.499,193170.433,53321.746,67445.364,166543.728,55637.846,764572.079,373232.634,986546.421,641096.982,213319.277,331946.585521109,245289.330746117,310321.344298831,320666.003000619,972034.589328193
India,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),446321.283,269364.982,72155.997,198513.037,143807.127,125031.889,228538.108,1414387.522,1877257.112,2081428.667,1716911.776,1410247.207,2855969.786,2653077.338,2420133.344,1873268.812,1460570.15,1022565.117,1214149.17505593,2037428.83984182,2001130.5285683,1768334.73900334,2992446.48725211
India,El Salvador,Import,  All Products,Import (US$ Thousand),221.741,,468.686,1204.07,911.829,1776.032,2052.87,2152.493,5177.908,5783.797,5319.831,5034.549,11179.431,7565.818,8954.311,8364.71,8773.624,4737.189,9422.67668940927,5624.83045237552,3299.6240960025,3696.5877622095004,4258.831325786549
India,Equatorial Guinea,Import,  All Products,Import (US$ Thousand),,,,11.179,169.121,808.663,17.704,158.462,72732.621,83307.525,141392.472,126078.542,722.099,451138.499,498102.29,716310.795,419981.469,908756.743,605073.8417177419,866668.843899449,962607.5977614829,357390.09229448496,854829.592691479
India,Eritrea,Import,  All Products,Import (US$ Thousand),,,,,182.138,880.615,827.599,552.277,1021.367,6811.219,93.644,544.972,3103.865,11222.102,1979.394,198931.625,169564.889,63169.766,3146.6463820038,0.7140404736,0.06182009575,0.956109168,123.3883958787
India,Estonia,Import,  All Products,Import (US$ Thousand),859.47,542.152,437.394,6603.219,213.758,495.488,6189.832,23659.906,9055.55,16346.3,32696.21,42051.625,168228.123,280329.255,106693.139,114085.813,157443.729,87838.253,75056.1798281844,94880.20662450891,82201.4102512558,61996.778824169895,67609.1359787917
India,Eswatini,Import,  All Products,Import (US$ Thousand),,1059.841,350.025,269.012,1722.524,3220.775,3714.149,70731.964,27660.273,36083.705,29464.718,99324.459,55290.907,65884.765,30181.749,121692.568,41781.008,30452.57,25721.817112358298,11404.0785741974,7681.038061742501,5711.222626083901,284137.875535334
India,Ethiopia(excludes Eritrea),Import,  All Products,Import (US$ Thousand),872.688,2034.416,18870.336,10191.231,7844.797,8186.796,10446.133,9700.031,13136.179,11568.99,15674.6,28587.761,32653.669,30553.102,28749.396,37362.316,60007.216,70202.056,45530.7007841605,77099.6317124669,101228.382043959,30896.957266079502,63190.2012020313
India,Europe & Central Asia,Import,  All Products,Import (US$ Thousand),14784096.000000004,14589265.133000001,14594281.041,15503522.772000002,18716204.531000007,23955464.487000003,34356781.97999999,40663856.90599999,49177478.246,67114849.19299999,56510527.075,72025279.58000001,95438798.73599999,94299220.49399996,83276473.28899999,79861617.93599999,73932708.64199999,64393254.693999976,79346237.31227402,101320275.22009236,80876362.65076154,61189684.51623169,98772847.32364288
India,Faeroe Islands,Import,  All Products,Import (US$ Thousand),,45.455,,,16.368,,23.122,12.805,173.119,11.462,74.463,7270.422,40.9,,0.268,47.43,53.022,4.245,2.8431706500000002,40.01399100976,,,
India,Falkland Island,Import,  All Products,Import (US$ Thousand),30.098,,0.001,0.001,,,,9.604,2.246,433.613,1198.458,1434.635,2276.455,1124.23,1081.036,3249.119,1977.445,,,,31.579654281,,
India,Fiji,Import,  All Products,Import (US$ Thousand),43.343,10.428,9.152,13.32,895.384,991.31,732.455,18750.154,271.353,530.191,1194.177,2111.141,2666.56,1289.37,1944.223,1099.242,1245.57,600.081,424.76559172317,778.0869580816001,712.7168366097501,849.4897706752,948.20573679855
India,Finland,Import,  All Products,Import (US$ Thousand),139517.92,214257.523,158766.779,171929.133,268472.395,360740.497,473870.377,660461.368,812918.435,988002.609,1257832.057,1392681.472,1974621.45,1358393.359,961013.292,1057137.346,987856.636,933530.817,1274647.76868964,1723127.00698822,714825.5999261481,680777.6915056129,688222.083482291
India,Fm Sudan,Import,  All Products,Import (US$ Thousand),6646.745,7353.803,13342.18,22997.193,30300.229,22846.164,27672.209,92829.161,242505.163,545758.575,376633.926,641263.18,468924.568,,,,,,,,,,
India,Fr. So. Ant. Tr,Import,  All Products,Import (US$ Thousand),,,,,,,79.245,,,4.423,,,8.879,15.452,27.283,,27.936,,,,,,
India,France,Import,  All Products,Import (US$ Thousand),723684.13,641874.694,776545.443,1036058.517,1097032.644,1312605.362,2212071.126,4388425.433,2545480.769,6404518.48,4397220.465,3820409.234,3898179.095,4342332.327,3375236.985,3383505.858,3195305.521,3167272.128,4931260.13918134,4341384.22667496,3828388.9335928503,2996351.85976863,3890003.12488045
India,French Polynesia,Import,  All Products,Import (US$ Thousand),,,,,,7.218,15.963,27.385,22.263,95.573,6.911,10.857,18.875,7.747,30.639,14.731,37.31,4.359,59.72868353862,34.89801352336,62.60827000225,,860.98240383615
